全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,発熱等相談件数,発熱等相談件数_7日間移動平均値
130001,東京都,,2020-04-19,99,79.4
130001,東京都,,2020-04-20,81,79.7
130001,東京都,,2020-04-21,72,79.1
130001,東京都,,2020-04-22,67,77.4
130001,東京都,,2020-04-23,78,80
130001,東京都,,2020-04-24,89,82.7
130001,東京都,,2020-04-25,130,88
130001,東京都,,2020-04-26,130,92.4
130001,東京都,,2020-04-27,87,93.3
130001,東京都,,2020-04-28,77,94
130001,東京都,,2020-04-29,133,103.4
130001,東京都,,2020-04-30,95,105.9
130001,東京都,,2020-05-01,84,105.1
130001,東京都,,2020-05-02,112,102.6
130001,東京都,,2020-05-03,109,99.6
130001,東京都,,2020-05-04,138,106.9
130001,東京都,,2020-05-05,102,110.4
130001,東京都,,2020-05-06,121,108.7
130001,東京都,,2020-05-07,62,104
130001,東京都,,2020-05-08,72,102.3
130001,東京都,,2020-05-09,92,99.4
130001,東京都,,2020-05-10,101,98.3
130001,東京都,,2020-05-11,75,89.3
130001,東京都,,2020-05-12,56,82.7
130001,東京都,,2020-05-13,60,74
130001,東京都,,2020-05-14,60,73.7
130001,東京都,,2020-05-15,60,72
130001,東京都,,2020-05-16,64,68
130001,東京都,,2020-05-17,72,63.9
130001,東京都,,2020-05-18,43,59.3
130001,東京都,,2020-05-19,58,59.6
130001,東京都,,2020-05-20,46,57.6
130001,東京都,,2020-05-21,52,56.4
130001,東京都,,2020-05-22,31,52.3
130001,東京都,,2020-05-23,45,49.6
130001,東京都,,2020-05-24,58,47.6
130001,東京都,,2020-05-25,50,48.6
130001,東京都,,2020-05-26,56,48.3
130001,東京都,,2020-05-27,50,48.9
130001,東京都,,2020-05-28,49,48.4
130001,東京都,,2020-05-29,36,49.1
130001,東京都,,2020-05-30,49,49.7
130001,東京都,,2020-05-31,83,53.3
130001,東京都,,2020-06-01,48,53
130001,東京都,,2020-06-02,49,52
130001,東京都,,2020-06-03,49,51.9
130001,東京都,,2020-06-04,54,52.6
130001,東京都,,2020-06-05,56,55.4
130001,東京都,,2020-06-06,60,57
130001,東京都,,2020-06-07,83,57
130001,東京都,,2020-06-08,52,57.6
130001,東京都,,2020-06-09,59,59
130001,東京都,,2020-06-10,61,60.7
130001,東京都,,2020-06-11,52,60.4
130001,東京都,,2020-06-12,50,59.6
130001,東京都,,2020-06-13,58,59.3
130001,東京都,,2020-06-14,74,58
130001,東京都,,2020-06-15,48,57.4
130001,東京都,,2020-06-16,48,55.9
130001,東京都,,2020-06-17,64,56.3
130001,東京都,,2020-06-18,63,57.9
130001,東京都,,2020-06-19,39,56.3
130001,東京都,,2020-06-20,51,55.3
130001,東京都,,2020-06-21,73,55.1
130001,東京都,,2020-06-22,45,54.7
130001,東京都,,2020-06-23,38,53.3
130001,東京都,,2020-06-24,52,51.6
130001,東京都,,2020-06-25,29,46.7
130001,東京都,,2020-06-26,41,47
130001,東京都,,2020-06-27,52,47.1
130001,東京都,,2020-06-28,62,45.6
130001,東京都,,2020-06-29,43,45.3
130001,東京都,,2020-06-30,55,47.7
130001,東京都,,2020-07-01,60,48.9
130001,東京都,,2020-07-02,57,52.9
130001,東京都,,2020-07-03,46,53.6
130001,東京都,,2020-07-04,61,54.9
130001,東京都,,2020-07-05,88,58.6
130001,東京都,,2020-07-06,58,60.7
130001,東京都,,2020-07-07,55,60.7
130001,東京都,,2020-07-08,56,60.1
130001,東京都,,2020-07-09,62,60.9
130001,東京都,,2020-07-10,64,63.4
130001,東京都,,2020-07-11,73,65.1
130001,東京都,,2020-07-12,96,66.3
130001,東京都,,2020-07-13,69,67.9
130001,東京都,,2020-07-14,62,68.9
130001,東京都,,2020-07-15,54,68.6
130001,東京都,,2020-07-16,56,67.7
130001,東京都,,2020-07-17,54,66.3
130001,東京都,,2020-07-18,86,68.1
130001,東京都,,2020-07-19,79,65.7
130001,東京都,,2020-07-20,70,65.9
130001,東京都,,2020-07-21,70,67
130001,東京都,,2020-07-22,80,70.7
130001,東京都,,2020-07-23,112,78.7
130001,東京都,,2020-07-24,112,87
130001,東京都,,2020-07-25,107,90
130001,東京都,,2020-07-26,101,93.1
130001,東京都,,2020-07-27,82,94.9
130001,東京都,,2020-07-28,75,95.6
130001,東京都,,2020-07-29,55,92
130001,東京都,,2020-07-30,71,86.1
130001,東京都,,2020-07-31,71,80.3
130001,東京都,,2020-08-01,90,77.9
130001,東京都,,2020-08-02,92,76.6
130001,東京都,,2020-08-03,72,75.1
130001,東京都,,2020-08-04,60,73
130001,東京都,,2020-08-05,67,74.7
130001,東京都,,2020-08-06,56,72.6
130001,東京都,,2020-08-07,94,75.9
130001,東京都,,2020-08-08,90,75.9
130001,東京都,,2020-08-09,104,77.6
130001,東京都,,2020-08-10,119,84.3
130001,東京都,,2020-08-11,78,86.9
130001,東京都,,2020-08-12,79,88.6
130001,東京都,,2020-08-13,84,92.6
130001,東京都,,2020-08-14,89,91.9
130001,東京都,,2020-08-15,80,90.4
130001,東京都,,2020-08-16,95,89.1
130001,東京都,,2020-08-17,87,84.6
130001,東京都,,2020-08-18,58,81.7
130001,東京都,,2020-08-19,67,80
130001,東京都,,2020-08-20,65,77.3
130001,東京都,,2020-08-21,61,73.3
130001,東京都,,2020-08-22,74,72.4
130001,東京都,,2020-08-23,91,71.9
130001,東京都,,2020-08-24,52,66.9
130001,東京都,,2020-08-25,78,69.7
130001,東京都,,2020-08-26,72,70.4
130001,東京都,,2020-08-27,55,69
130001,東京都,,2020-08-28,59,68.7
130001,東京都,,2020-08-29,67,67.7
130001,東京都,,2020-08-30,78,65.9
130001,東京都,,2020-08-31,51,65.7
130001,東京都,,2020-09-01,60,63.1
130001,東京都,,2020-09-02,63,61.9
130001,東京都,,2020-09-03,47,60.7
130001,東京都,,2020-09-04,56,60.3
130001,東京都,,2020-09-05,55,58.6
130001,東京都,,2020-09-06,70,57.4
130001,東京都,,2020-09-07,55,58
130001,東京都,,2020-09-08,57,57.6
130001,東京都,,2020-09-09,37,53.9
130001,東京都,,2020-09-10,54,54.9
130001,東京都,,2020-09-11,55,54.7
130001,東京都,,2020-09-12,70,56.9
130001,東京都,,2020-09-13,79,58.1
130001,東京都,,2020-09-14,55,58.1
130001,東京都,,2020-09-15,34,54.9
130001,東京都,,2020-09-16,67,59.1
130001,東京都,,2020-09-17,53,59
130001,東京都,,2020-09-18,48,58
130001,東京都,,2020-09-19,58,56.3
130001,東京都,,2020-09-20,83,56.9
130001,東京都,,2020-09-21,81,60.6
130001,東京都,,2020-09-22,82,67.4
130001,東京都,,2020-09-23,54,65.6
130001,東京都,,2020-09-24,48,64.9
130001,東京都,,2020-09-25,57,66.1
130001,東京都,,2020-09-26,53,65.4
130001,東京都,,2020-09-27,52,61
130001,東京都,,2020-09-28,51,56.7
130001,東京都,,2020-09-29,39,50.6
130001,東京都,,2020-09-30,29,47
130001,東京都,,2020-10-01,49,47.1
130001,東京都,,2020-10-02,55,46.9
130001,東京都,,2020-10-03,76,50.1
130001,東京都,,2020-10-04,60,51.3
130001,東京都,,2020-10-05,65,53.3
130001,東京都,,2020-10-06,49,54.7
130001,東京都,,2020-10-07,61,59.3
130001,東京都,,2020-10-08,47,59
130001,東京都,,2020-10-09,40,56.9
130001,東京都,,2020-10-10,59,54.4
130001,東京都,,2020-10-11,98,59.9
130001,東京都,,2020-10-12,61,59.3
130001,東京都,,2020-10-13,37,57.6
130001,東京都,,2020-10-14,50,56
130001,東京都,,2020-10-15,57,57.4
130001,東京都,,2020-10-16,41,57.6
130001,東京都,,2020-10-17,49,56.1
130001,東京都,,2020-10-18,52,49.6
130001,東京都,,2020-10-19,55,48.7
130001,東京都,,2020-10-20,45,49.9
130001,東京都,,2020-10-21,54,50.4
130001,東京都,,2020-10-22,39,47.9
130001,東京都,,2020-10-23,38,47.4
130001,東京都,,2020-10-24,40,46.1
130001,東京都,,2020-10-25,72,49
130001,東京都,,2020-10-26,56,49.1
130001,東京都,,2020-10-27,44,49
130001,東京都,,2020-10-28,58,49.6
130001,東京都,,2020-10-29,44,50.3
130001,東京都,,2020-10-30,44,51.1
130001,東京都,,2020-10-31,70,55.4
130001,東京都,,2020-11-01,61,53.9
130001,東京都,,2020-11-02,40,51.6
130001,東京都,,2020-11-03,68,55
130001,東京都,,2020-11-04,57,54.9
130001,東京都,,2020-11-05,58,56.9
130001,東京都,,2020-11-06,50,57.7
130001,東京都,,2020-11-07,53,55.3
130001,東京都,,2020-11-08,68,56.3
130001,東京都,,2020-11-09,52,58
130001,東京都,,2020-11-10,55,56.1
130001,東京都,,2020-11-11,50,55.1
130001,東京都,,2020-11-12,50,54
130001,東京都,,2020-11-13,50,54
130001,東京都,,2020-11-14,61,55.1
130001,東京都,,2020-11-15,88,58
130001,東京都,,2020-11-16,55,58.4
130001,東京都,,2020-11-17,51,57.9
130001,東京都,,2020-11-18,54,58.4
130001,東京都,,2020-11-19,69,61.1
130001,東京都,,2020-11-20,65,63.3
130001,東京都,,2020-11-21,61,63.3
130001,東京都,,2020-11-22,99,64.9
130001,東京都,,2020-11-23,102,71.6
130001,東京都,,2020-11-24,45,70.7
130001,東京都,,2020-11-25,62,71.9
130001,東京都,,2020-11-26,39,67.6
130001,東京都,,2020-11-27,62,67.1
130001,東京都,,2020-11-28,57,66.6
130001,東京都,,2020-11-29,67,62
130001,東京都,,2020-11-30,58,55.7
130001,東京都,,2020-12-01,55,57.1
130001,東京都,,2020-12-02,51,55.6
130001,東京都,,2020-12-03,55,57.9
130001,東京都,,2020-12-04,49,56
130001,東京都,,2020-12-05,62,56.7
130001,東京都,,2020-12-06,71,57.3
130001,東京都,,2020-12-07,63,58
130001,東京都,,2020-12-08,47,56.9
130001,東京都,,2020-12-09,65,58.9
130001,東京都,,2020-12-10,49,58
130001,東京都,,2020-12-11,51,58.3
130001,東京都,,2020-12-12,72,59.7
130001,東京都,,2020-12-13,89,62.3
130001,東京都,,2020-12-14,56,61.3
130001,東京都,,2020-12-15,62,63.4
130001,東京都,,2020-12-16,54,61.9
130001,東京都,,2020-12-17,57,63
130001,東京都,,2020-12-18,52,63.1
130001,東京都,,2020-12-19,66,62.3
130001,東京都,,2020-12-20,75,60.3
130001,東京都,,2020-12-21,56,60.3
130001,東京都,,2020-12-22,61,60.1
130001,東京都,,2020-12-23,50,59.6
130001,東京都,,2020-12-24,63,60.4
130001,東京都,,2020-12-25,66,62.4
130001,東京都,,2020-12-26,68,62.7
130001,東京都,,2020-12-27,94,65.4
130001,東京都,,2020-12-28,73,67.9
130001,東京都,,2020-12-29,108,74.6
130001,東京都,,2020-12-30,107,82.7
130001,東京都,,2020-12-31,100,88
130001,東京都,,2021-01-01,141,98.7
130001,東京都,,2021-01-02,107,104.3
130001,東京都,,2021-01-03,123,108.4
130001,東京都,,2021-01-04,98,112
130001,東京都,,2021-01-05,93,109.9
130001,東京都,,2021-01-06,65,103.9
130001,東京都,,2021-01-07,70,99.6
130001,東京都,,2021-01-08,61,88.1
130001,東京都,,2021-01-09,110,88.6
130001,東京都,,2021-01-10,115,87.4
130001,東京都,,2021-01-11,113,89.6
130001,東京都,,2021-01-12,78,87.4
130001,東京都,,2021-01-13,67,87.7
130001,東京都,,2021-01-14,71,87.9
130001,東京都,,2021-01-15,79,90.4
130001,東京都,,2021-01-16,79,86
130001,東京都,,2021-01-17,82,81.3
130001,東京都,,2021-01-18,53,72.7
130001,東京都,,2021-01-19,56,69.6
130001,東京都,,2021-01-20,56,68
130001,東京都,,2021-01-21,59,66.3
130001,東京都,,2021-01-22,58,63.3
130001,東京都,,2021-01-23,76,62.9
130001,東京都,,2021-01-24,84,63.1
130001,東京都,,2021-01-25,57,63.7
130001,東京都,,2021-01-26,76,66.6
130001,東京都,,2021-01-27,66,68
130001,東京都,,2021-01-28,55,67.4
130001,東京都,,2021-01-29,54,66.9
130001,東京都,,2021-01-30,88,68.6
130001,東京都,,2021-01-31,80,68
130001,東京都,,2021-02-01,58,68.1
130001,東京都,,2021-02-02,57,65.4
130001,東京都,,2021-02-03,51,63.3
130001,東京都,,2021-02-04,58,63.7
130001,東京都,,2021-02-05,49,63
130001,東京都,,2021-02-06,67,60
130001,東京都,,2021-02-07,85,60.7
130001,東京都,,2021-02-08,61,61.1
130001,東京都,,2021-02-09,55,60.9
130001,東京都,,2021-02-10,39,59.1
130001,東京都,,2021-02-11,64,60
130001,東京都,,2021-02-12,55,60.9
130001,東京都,,2021-02-13,66,60.7
130001,東京都,,2021-02-14,74,59.1
130001,東京都,,2021-02-15,53,58
130001,東京都,,2021-02-16,60,58.7
130001,東京都,,2021-02-17,70,63.1
130001,東京都,,2021-02-18,55,61.9
130001,東京都,,2021-02-19,55,61.9
130001,東京都,,2021-02-20,75,63.1
130001,東京都,,2021-02-21,66,62
130001,東京都,,2021-02-22,65,63.7
130001,東京都,,2021-02-23,65,64.4
130001,東京都,,2021-02-24,63,63.4
130001,東京都,,2021-02-25,61,64.3
130001,東京都,,2021-02-26,42,62.4
130001,東京都,,2021-02-27,57,59.9
130001,東京都,,2021-02-28,72,60.7
130001,東京都,,2021-03-01,37,56.7
130001,東京都,,2021-03-02,53,55
130001,東京都,,2021-03-03,48,52.9
130001,東京都,,2021-03-04,61,52.9
130001,東京都,,2021-03-05,59,55.3
130001,東京都,,2021-03-06,64,56.3
130001,東京都,,2021-03-07,77,57
130001,東京都,,2021-03-08,50,58.9
130001,東京都,,2021-03-09,45,57.7
130001,東京都,,2021-03-10,47,57.6
130001,東京都,,2021-03-11,53,56.4
130001,東京都,,2021-03-12,34,52.9
130001,東京都,,2021-03-13,61,52.4
130001,東京都,,2021-03-14,65,50.7
130001,東京都,,2021-03-15,51,50.9
130001,東京都,,2021-03-16,50,51.6
130001,東京都,,2021-03-17,54,52.6
130001,東京都,,2021-03-18,45,51.4
130001,東京都,,2021-03-19,55,54.4
130001,東京都,,2021-03-20,94,59.1
130001,東京都,,2021-03-21,86,62.1
130001,東京都,,2021-03-22,64,64
130001,東京都,,2021-03-23,53,64.4
130001,東京都,,2021-03-24,41,62.6
130001,東京都,,2021-03-25,43,62.3
130001,東京都,,2021-03-26,62,63.3
130001,東京都,,2021-03-27,70,59.9
130001,東京都,,2021-03-28,84,59.6
130001,東京都,,2021-03-29,50,57.6
130001,東京都,,2021-03-30,57,58.1
130001,東京都,,2021-03-31,56,60.3
130001,東京都,,2021-04-01,55,62
130001,東京都,,2021-04-02,45,59.6
130001,東京都,,2021-04-03,61,58.3
130001,東京都,,2021-04-04,81,57.9
130001,東京都,,2021-04-05,56,58.7
130001,東京都,,2021-04-06,58,58.9
130001,東京都,,2021-04-07,53,58.4
130001,東京都,,2021-04-08,44,56.9
130001,東京都,,2021-04-09,48,57.3
130001,東京都,,2021-04-10,49,55.6
130001,東京都,,2021-04-11,77,55
130001,東京都,,2021-04-12,48,53.9
130001,東京都,,2021-04-13,61,54.3
130001,東京都,,2021-04-14,56,54.7
130001,東京都,,2021-04-15,36,53.6
130001,東京都,,2021-04-16,38,52.1
130001,東京都,,2021-04-17,63,54.1
130001,東京都,,2021-04-18,72,53.4
130001,東京都,,2021-04-19,63,55.6
130001,東京都,,2021-04-20,53,54.4
130001,東京都,,2021-04-21,52,53.9
130001,東京都,,2021-04-22,47,55.4
130001,東京都,,2021-04-23,43,56.1
130001,東京都,,2021-04-24,74,57.7
130001,東京都,,2021-04-25,79,58.7
130001,東京都,,2021-04-26,62,58.6
130001,東京都,,2021-04-27,43,57.1
130001,東京都,,2021-04-28,67,59.3
130001,東京都,,2021-04-29,81,64.1
130001,東京都,,2021-04-30,62,66.9
130001,東京都,,2021-05-01,72,66.6
130001,東京都,,2021-05-02,90,68.1
